province,year,rain_mm,ndvi,ndwi,spi,drought_level,source,period
กาฬสินธุ์,2567,1022,0.7,0.157,-0.98,สูง,TMD-RID-GISTDA-sample,ปี 2567 รวม
ขอนแก่น,2567,1158,0.659,0.125,-0.11,ต่ำ,TMD-RID-GISTDA-sample,ปี 2567 รวม
ชัยภูมิ,2567,1007,0.365,0.059,-0.34,ปานกลาง,TMD-RID-GISTDA-sample,ปี 2567 รวม
นครพนม,2567,1430,0.428,0.025,0.6,ต่ำ,TMD-RID-GISTDA-sample,ปี 2567 รวม
นครราชสีมา,2567,946,0.557,0.212,-0.49,ปานกลาง,TMD-RID-GISTDA-sample,ปี 2567 รวม
บึงกาฬ,2567,1678,0.693,0.021,0.3,ต่ำ,TMD-RID-GISTDA-sample,ปี 2567 รวม
บุรีรัมย์,2567,1111,0.65,0.214,0.75,ต่ำ,TMD-RID-GISTDA-sample,ปี 2567 รวม
มหาสารคาม,2567,1076,0.692,0.185,-0.84,สูง,TMD-RID-GISTDA-sample,ปี 2567 รวม
มุกดาหาร,2567,1475,0.67,0.193,0.4,ต่ำ,TMD-RID-GISTDA-sample,ปี 2567 รวม
ยโสธร,2567,1288,0.609,0.065,-0.88,สูง,TMD-RID-GISTDA-sample,ปี 2567 รวม
ร้อยเอ็ด,2567,1179,0.432,0.195,0.52,ต่ำ,TMD-RID-GISTDA-sample,ปี 2567 รวม
เลย,2567,1337,0.654,0.211,-0.5,ปานกลาง,TMD-RID-GISTDA-sample,ปี 2567 รวม
ศรีสะเกษ,2567,1327,0.421,0.048,-1.15,สูง,TMD-RID-GISTDA-sample,ปี 2567 รวม
สกลนคร,2567,1337,0.453,0.142,0.73,ต่ำ,TMD-RID-GISTDA-sample,ปี 2567 รวม
สุรินทร์,2567,1222,0.662,0.049,0.16,ต่ำ,TMD-RID-GISTDA-sample,ปี 2567 รวม
หนองคาย,2567,1377,0.709,0.004,-0.97,สูง,TMD-RID-GISTDA-sample,ปี 2567 รวม
หนองบัวลำภู,2567,1137,0.571,0.054,-1.12,สูง,TMD-RID-GISTDA-sample,ปี 2567 รวม
อำนาจเจริญ,2567,1350,0.714,-0.015,-0.33,ปานกลาง,TMD-RID-GISTDA-sample,ปี 2567 รวม
อุดรธานี,2567,1317,0.366,0.081,-0.82,สูง,TMD-RID-GISTDA-sample,ปี 2567 รวม
อุบลราชธานี,2567,1503,0.549,0.166,0.65,ต่ำ,TMD-RID-GISTDA-sample,ปี 2567 รวม
