well_id,province,district,depth_m,well_yield_m3_day,quality,lat,lng,source,year
DGR-0001,กาฬสินธุ์,อำเภอตัวอย่าง1,68,15.3,ปานกลาง,16.3535,103.4019,DGR-sample,2567
DGR-0002,กาฬสินธุ์,อำเภอตัวอย่าง2,34,32.3,ควรตรวจซ้ำ,16.3061,103.4866,DGR-sample,2567
DGR-0003,กาฬสินธุ์,อำเภอตัวอย่าง3,29,14.8,ดี,16.4316,103.368,DGR-sample,2567
DGR-0004,ขอนแก่น,อำเภอตัวอย่าง1,40,33.5,ควรตรวจซ้ำ,16.4159,102.8248,DGR-sample,2567
DGR-0005,ขอนแก่น,อำเภอตัวอย่าง2,45,36.3,ดี,16.5176,102.7379,DGR-sample,2567
DGR-0006,ขอนแก่น,อำเภอตัวอย่าง3,55,22.2,ดี,16.3546,102.919,DGR-sample,2567
DGR-0007,ขอนแก่น,อำเภอตัวอย่าง4,34,14.8,ดี,16.3977,102.7932,DGR-sample,2567
DGR-0008,ขอนแก่น,อำเภอตัวอย่าง5,44,36.2,ดี,16.4509,102.9819,DGR-sample,2567
DGR-0009,ชัยภูมิ,อำเภอตัวอย่าง1,52,14.4,ปานกลาง,15.9088,102.0656,DGR-sample,2567
DGR-0010,ชัยภูมิ,อำเภอตัวอย่าง2,83,22.8,ดี,15.8714,101.8937,DGR-sample,2567
DGR-0011,ชัยภูมิ,อำเภอตัวอย่าง3,42,35.2,ดี,15.9166,102.1399,DGR-sample,2567
DGR-0012,นครพนม,อำเภอตัวอย่าง1,52,20.3,ปานกลาง,17.3088,104.7366,DGR-sample,2567
DGR-0013,นครพนม,อำเภอตัวอย่าง2,70,20.0,ดี,17.4427,104.6813,DGR-sample,2567
DGR-0014,นครพนม,อำเภอตัวอย่าง3,74,19.3,ดี,17.3738,104.9269,DGR-sample,2567
DGR-0015,นครราชสีมา,อำเภอตัวอย่าง1,68,32.6,ดี,15.0254,102.2029,DGR-sample,2567
DGR-0016,นครราชสีมา,อำเภอตัวอย่าง2,77,13.7,ดี,15.0615,102.0703,DGR-sample,2567
DGR-0017,นครราชสีมา,อำเภอตัวอย่าง3,32,18.3,ควรตรวจซ้ำ,15.0829,102.0444,DGR-sample,2567
DGR-0018,นครราชสีมา,อำเภอตัวอย่าง4,69,27.0,ดี,14.8629,101.9919,DGR-sample,2567
DGR-0019,นครราชสีมา,อำเภอตัวอย่าง5,75,28.8,ปานกลาง,15.0441,102.0785,DGR-sample,2567
DGR-0020,บึงกาฬ,อำเภอตัวอย่าง1,65,24.0,ดี,18.5092,103.5415,DGR-sample,2567
DGR-0021,บึงกาฬ,อำเภอตัวอย่าง2,59,14.7,ดี,18.4683,103.5459,DGR-sample,2567
DGR-0022,บึงกาฬ,อำเภอตัวอย่าง3,38,35.8,ดี,18.3889,103.6154,DGR-sample,2567
DGR-0023,บุรีรัมย์,อำเภอตัวอย่าง1,66,41.9,ควรตรวจซ้ำ,14.9154,103.116,DGR-sample,2567
DGR-0024,บุรีรัมย์,อำเภอตัวอย่าง2,28,32.4,ดี,15.0445,103.1111,DGR-sample,2567
DGR-0025,บุรีรัมย์,อำเภอตัวอย่าง3,45,35.1,ปานกลาง,14.8735,103.0804,DGR-sample,2567
DGR-0026,มหาสารคาม,อำเภอตัวอย่าง1,57,12.1,ปานกลาง,16.3216,103.3786,DGR-sample,2567
DGR-0027,มหาสารคาม,อำเภอตัวอย่าง2,60,39.4,ปานกลาง,16.2825,103.3023,DGR-sample,2567
DGR-0028,มหาสารคาม,อำเภอตัวอย่าง3,40,16.6,ดี,16.1918,103.3836,DGR-sample,2567
DGR-0029,มุกดาหาร,อำเภอตัวอย่าง1,61,39.6,ควรตรวจซ้ำ,16.4872,104.5758,DGR-sample,2567
DGR-0030,มุกดาหาร,อำเภอตัวอย่าง2,51,38.4,ปานกลาง,16.4618,104.6423,DGR-sample,2567
DGR-0031,มุกดาหาร,อำเภอตัวอย่าง3,64,40.4,ดี,16.6096,104.8148,DGR-sample,2567
DGR-0032,ยโสธร,อำเภอตัวอย่าง1,76,28.0,ดี,15.6785,104.1326,DGR-sample,2567
