date,province,crop,price,unit,source
2025-05-01,กาฬสินธุ์,ข้าวหอมมะลิ,11.91,บาท/กก.,OAE-DIT-sample
2025-05-01,ขอนแก่น,ข้าวหอมมะลิ,11.89,บาท/กก.,OAE-DIT-sample
2025-05-01,ชัยภูมิ,ข้าวหอมมะลิ,11.83,บาท/กก.,OAE-DIT-sample
2025-05-01,นครพนม,ข้าวหอมมะลิ,11.77,บาท/กก.,OAE-DIT-sample
2025-05-01,นครราชสีมา,ข้าวหอมมะลิ,11.89,บาท/กก.,OAE-DIT-sample
2025-05-01,บึงกาฬ,ข้าวหอมมะลิ,11.82,บาท/กก.,OAE-DIT-sample
2025-05-01,บุรีรัมย์,ข้าวหอมมะลิ,11.82,บาท/กก.,OAE-DIT-sample
2025-05-01,มหาสารคาม,ข้าวหอมมะลิ,11.93,บาท/กก.,OAE-DIT-sample
2025-05-01,มุกดาหาร,ข้าวหอมมะลิ,11.9,บาท/กก.,OAE-DIT-sample
2025-05-01,ยโสธร,ข้าวหอมมะลิ,11.81,บาท/กก.,OAE-DIT-sample
2025-05-01,ร้อยเอ็ด,ข้าวหอมมะลิ,11.82,บาท/กก.,OAE-DIT-sample
2025-05-01,เลย,ข้าวหอมมะลิ,11.84,บาท/กก.,OAE-DIT-sample
2025-05-01,ศรีสะเกษ,ข้าวหอมมะลิ,11.84,บาท/กก.,OAE-DIT-sample
2025-05-01,สกลนคร,ข้าวหอมมะลิ,11.81,บาท/กก.,OAE-DIT-sample
2025-05-01,สุรินทร์,ข้าวหอมมะลิ,11.78,บาท/กก.,OAE-DIT-sample
2025-05-01,หนองคาย,ข้าวหอมมะลิ,11.84,บาท/กก.,OAE-DIT-sample
2025-05-01,หนองบัวลำภู,ข้าวหอมมะลิ,11.95,บาท/กก.,OAE-DIT-sample
2025-05-01,อำนาจเจริญ,ข้าวหอมมะลิ,11.89,บาท/กก.,OAE-DIT-sample
2025-05-01,อุดรธานี,ข้าวหอมมะลิ,11.94,บาท/กก.,OAE-DIT-sample
2025-05-01,อุบลราชธานี,ข้าวหอมมะลิ,11.88,บาท/กก.,OAE-DIT-sample
2025-06-01,กาฬสินธุ์,ข้าวหอมมะลิ,11.94,บาท/กก.,OAE-DIT-sample
2025-06-01,ขอนแก่น,ข้าวหอมมะลิ,11.93,บาท/กก.,OAE-DIT-sample
2025-06-01,ชัยภูมิ,ข้าวหอมมะลิ,11.87,บาท/กก.,OAE-DIT-sample
2025-06-01,นครพนม,ข้าวหอมมะลิ,11.8,บาท/กก.,OAE-DIT-sample
2025-06-01,นครราชสีมา,ข้าวหอมมะลิ,11.93,บาท/กก.,OAE-DIT-sample
2025-06-01,บึงกาฬ,ข้าวหอมมะลิ,11.86,บาท/กก.,OAE-DIT-sample
2025-06-01,บุรีรัมย์,ข้าวหอมมะลิ,11.86,บาท/กก.,OAE-DIT-sample
2025-06-01,มหาสารคาม,ข้าวหอมมะลิ,11.97,บาท/กก.,OAE-DIT-sample
2025-06-01,มุกดาหาร,ข้าวหอมมะลิ,11.94,บาท/กก.,OAE-DIT-sample
2025-06-01,ยโสธร,ข้าวหอมมะลิ,11.85,บาท/กก.,OAE-DIT-sample
2025-06-01,ร้อยเอ็ด,ข้าวหอมมะลิ,11.85,บาท/กก.,OAE-DIT-sample
2025-06-01,เลย,ข้าวหอมมะลิ,11.87,บาท/กก.,OAE-DIT-sample
2025-06-01,ศรีสะเกษ,ข้าวหอมมะลิ,11.87,บาท/กก.,OAE-DIT-sample
2025-06-01,สกลนคร,ข้าวหอมมะลิ,11.85,บาท/กก.,OAE-DIT-sample
2025-06-01,สุรินทร์,ข้าวหอมมะลิ,11.82,บาท/กก.,OAE-DIT-sample
2025-06-01,หนองคาย,ข้าวหอมมะลิ,11.88,บาท/กก.,OAE-DIT-sample
2025-06-01,หนองบัวลำภู,ข้าวหอมมะลิ,11.99,บาท/กก.,OAE-DIT-sample
2025-06-01,อำนาจเจริญ,ข้าวหอมมะลิ,11.93,บาท/กก.,OAE-DIT-sample
2025-06-01,อุดรธานี,ข้าวหอมมะลิ,11.98,บาท/กก.,OAE-DIT-sample
2025-06-01,อุบลราชธานี,ข้าวหอมมะลิ,11.92,บาท/กก.,OAE-DIT-sample
2025-07-01,กาฬสินธุ์,ข้าวหอมมะลิ,11.55,บาท/กก.,OAE-DIT-sample
2025-07-01,ขอนแก่น,ข้าวหอมมะลิ,11.53,บาท/กก.,OAE-DIT-sample
2025-07-01,ชัยภูมิ,ข้าวหอมมะลิ,11.47,บาท/กก.,OAE-DIT-sample
2025-07-01,นครพนม,ข้าวหอมมะลิ,11.4,บาท/กก.,OAE-DIT-sample
2025-07-01,นครราชสีมา,ข้าวหอมมะลิ,11.53,บาท/กก.,OAE-DIT-sample
2025-07-01,บึงกาฬ,ข้าวหอมมะลิ,11.46,บาท/กก.,OAE-DIT-sample
2025-07-01,บุรีรัมย์,ข้าวหอมมะลิ,11.46,บาท/กก.,OAE-DIT-sample
2025-07-01,มหาสารคาม,ข้าวหอมมะลิ,11.57,บาท/กก.,OAE-DIT-sample
2025-07-01,มุกดาหาร,ข้าวหอมมะลิ,11.54,บาท/กก.,OAE-DIT-sample
2025-07-01,ยโสธร,ข้าวหอมมะลิ,11.45,บาท/กก.,OAE-DIT-sample
2025-07-01,ร้อยเอ็ด,ข้าวหอมมะลิ,11.45,บาท/กก.,OAE-DIT-sample
2025-07-01,เลย,ข้าวหอมมะลิ,11.48,บาท/กก.,OAE-DIT-sample
2025-07-01,ศรีสะเกษ,ข้าวหอมมะลิ,11.47,บาท/กก.,OAE-DIT-sample
2025-07-01,สกลนคร,ข้าวหอมมะลิ,11.45,บาท/กก.,OAE-DIT-sample
2025-07-01,สุรินทร์,ข้าวหอมมะลิ,11.42,บาท/กก.,OAE-DIT-sample
2025-07-01,หนองคาย,ข้าวหอมมะลิ,11.48,บาท/กก.,OAE-DIT-sample
2025-07-01,หนองบัวลำภู,ข้าวหอมมะลิ,11.59,บาท/กก.,OAE-DIT-sample
2025-07-01,อำนาจเจริญ,ข้าวหอมมะลิ,11.53,บาท/กก.,OAE-DIT-sample
2025-07-01,อุดรธานี,ข้าวหอมมะลิ,11.58,บาท/กก.,OAE-DIT-sample
2025-07-01,อุบลราชธานี,ข้าวหอมมะลิ,11.52,บาท/กก.,OAE-DIT-sample
2025-08-01,กาฬสินธุ์,ข้าวหอมมะลิ,11.37,บาท/กก.,OAE-DIT-sample
2025-08-01,ขอนแก่น,ข้าวหอมมะลิ,11.36,บาท/กก.,OAE-DIT-sample
2025-08-01,ชัยภูมิ,ข้าวหอมมะลิ,11.3,บาท/กก.,OAE-DIT-sample
2025-08-01,นครพนม,ข้าวหอมมะลิ,11.23,บาท/กก.,OAE-DIT-sample
2025-08-01,นครราชสีมา,ข้าวหอมมะลิ,11.36,บาท/กก.,OAE-DIT-sample
2025-08-01,บึงกาฬ,ข้าวหอมมะลิ,11.29,บาท/กก.,OAE-DIT-sample
2025-08-01,บุรีรัมย์,ข้าวหอมมะลิ,11.28,บาท/กก.,OAE-DIT-sample
2025-08-01,มหาสารคาม,ข้าวหอมมะลิ,11.4,บาท/กก.,OAE-DIT-sample
2025-08-01,มุกดาหาร,ข้าวหอมมะลิ,11.37,บาท/กก.,OAE-DIT-sample
2025-08-01,ยโสธร,ข้าวหอมมะลิ,11.28,บาท/กก.,OAE-DIT-sample
2025-08-01,ร้อยเอ็ด,ข้าวหอมมะลิ,11.28,บาท/กก.,OAE-DIT-sample
2025-08-01,เลย,ข้าวหอมมะลิ,11.3,บาท/กก.,OAE-DIT-sample
2025-08-01,ศรีสะเกษ,ข้าวหอมมะลิ,11.3,บาท/กก.,OAE-DIT-sample
2025-08-01,สกลนคร,ข้าวหอมมะลิ,11.28,บาท/กก.,OAE-DIT-sample
2025-08-01,สุรินทร์,ข้าวหอมมะลิ,11.25,บาท/กก.,OAE-DIT-sample
