province,crop,yield_kg_rai,year,unit,source
เลย,ข้าวหอมมะลิ,356,2567,กก./ไร่,OAE
เลย,ข้าวนาปี,356,2567,กก./ไร่,OAE
หนองบัวลำภู,ข้าวหอมมะลิ,365,2567,กก./ไร่,OAE
หนองบัวลำภู,ข้าวนาปี,365,2567,กก./ไร่,OAE
อุดรธานี,ข้าวหอมมะลิ,351,2567,กก./ไร่,OAE
อุดรธานี,ข้าวนาปี,351,2567,กก./ไร่,OAE
หนองคาย,ข้าวหอมมะลิ,306,2567,กก./ไร่,OAE
หนองคาย,ข้าวนาปี,306,2567,กก./ไร่,OAE
บึงกาฬ,ข้าวหอมมะลิ,293,2567,กก./ไร่,OAE
บึงกาฬ,ข้าวนาปี,293,2567,กก./ไร่,OAE
สกลนคร,ข้าวหอมมะลิ,335,2567,กก./ไร่,OAE
สกลนคร,ข้าวนาปี,335,2567,กก./ไร่,OAE
นครพนม,ข้าวหอมมะลิ,325,2567,กก./ไร่,OAE
นครพนม,ข้าวนาปี,325,2567,กก./ไร่,OAE
มุกดาหาร,ข้าวหอมมะลิ,407,2567,กก./ไร่,OAE
มุกดาหาร,ข้าวนาปี,407,2567,กก./ไร่,OAE
ยโสธร,ข้าวหอมมะลิ,370,2567,กก./ไร่,OAE
ยโสธร,ข้าวนาปี,370,2567,กก./ไร่,OAE
อำนาจเจริญ,ข้าวหอมมะลิ,367,2567,กก./ไร่,OAE
อำนาจเจริญ,ข้าวนาปี,367,2567,กก./ไร่,OAE
อุบลราชธานี,ข้าวหอมมะลิ,359,2567,กก./ไร่,OAE
อุบลราชธานี,ข้าวนาปี,359,2567,กก./ไร่,OAE
ศรีสะเกษ,ข้าวหอมมะลิ,368,2567,กก./ไร่,OAE
ศรีสะเกษ,ข้าวนาปี,368,2567,กก./ไร่,OAE
สุรินทร์,ข้าวหอมมะลิ,384,2567,กก./ไร่,OAE
สุรินทร์,ข้าวนาปี,384,2567,กก./ไร่,OAE
บุรีรัมย์,ข้าวหอมมะลิ,353,2567,กก./ไร่,OAE
บุรีรัมย์,ข้าวนาปี,353,2567,กก./ไร่,OAE
มหาสารคาม,ข้าวหอมมะลิ,355,2567,กก./ไร่,OAE
มหาสารคาม,ข้าวนาปี,355,2567,กก./ไร่,OAE
ร้อยเอ็ด,ข้าวหอมมะลิ,326,2567,กก./ไร่,OAE
ร้อยเอ็ด,ข้าวนาปี,326,2567,กก./ไร่,OAE
กาฬสินธุ์,ข้าวหอมมะลิ,366,2567,กก./ไร่,OAE
กาฬสินธุ์,ข้าวนาปี,366,2567,กก./ไร่,OAE
ขอนแก่น,ข้าวหอมมะลิ,336,2567,กก./ไร่,OAE
ขอนแก่น,ข้าวนาปี,336,2567,กก./ไร่,OAE
ชัยภูมิ,ข้าวหอมมะลิ,384,2567,กก./ไร่,OAE
ชัยภูมิ,ข้าวนาปี,384,2567,กก./ไร่,OAE
นครราชสีมา,ข้าวหอมมะลิ,371,2567,กก./ไร่,OAE
นครราชสีมา,ข้าวนาปี,371,2567,กก./ไร่,OAE
กาฬสินธุ์,มันสำปะหลัง,3226,2567,กก./ไร่,OAE-ประเทศ
กาฬสินธุ์,ข้าวโพดเลี้ยงสัตว์,735,2566,กก./ไร่,OAE-ประเทศ
กาฬสินธุ์,อ้อยโรงงาน,11000,2566,กก./ไร่,OAE-อ้างอิง
ขอนแก่น,มันสำปะหลัง,3226,2567,กก./ไร่,OAE-ประเทศ
ขอนแก่น,ข้าวโพดเลี้ยงสัตว์,735,2566,กก./ไร่,OAE-ประเทศ
ขอนแก่น,อ้อยโรงงาน,11000,2566,กก./ไร่,OAE-อ้างอิง
ชัยภูมิ,มันสำปะหลัง,3226,2567,กก./ไร่,OAE-ประเทศ
ชัยภูมิ,ข้าวโพดเลี้ยงสัตว์,735,2566,กก./ไร่,OAE-ประเทศ
